"State","Density","Pop","LandArea"
"District of Columbia","11665.0984",711571,61
"New Jersey","1213.2917",8922547,7354
"Rhode Island","1021.9903",1056738,1034
"Massachusetts","889.6632",6939373,7800
"Connecticut","736.8589",3567871,4842
"Maryland","624.5923",6062917,9707
"Delaware","500.2735",975033,1949
"New York","413.6005",19491339,47126
"Florida","403.6579",21646155,53625
"Ohio","286.7910",11718568,40861
"Pennsylvania","286.3905",12813969,44743
"California","255.1516",39747267,155779
"Illinois","228.7574",12700381,55519
"Hawaii","220.5494",1416589,6423
"Virginia","217.0662",8571946,39490
"North Carolina","215.9229",10497741,48618
"Indiana","187.5346",6718616,35826
"Georgia","184.7890",10627767,57513
"Michigan","177.2312",10020472,56539
"South Carolina","171.2222",5147111,30061
"Tennessee","165.7280",6833793,41235
"New Hampshire","152.3346",1363852,8953
"Washington","115.3597",7666343,66456
"Kentucky","113.5604",4484047,39486
"Texas","111.3457",29087070,261232
"Wisconsin","107.6971",5832661,54158
"Louisiana","107.6887",4652581,43204
"Alabama","96.7173",4898246,50645
"Missouri","89.4338",6147861,68742
"West Virginia","74.5466",1791951,24038
"Minnesota","71.0302",5655925,79627
"Vermont","68.0460",627180,9217
"Arizona","64.0445",7275070,113594
"Mississippi","63.6766",2987895,46923
"Arkansas","58.1611",3026412,52035
"Oklahoma","57.5691",3948950,68595
"Iowa","56.7162",3167997,55857
"Colorado","55.6777",5770545,103642
"Oregon","44.2337",4245901,95988
"Maine","43.5138",1342097,30843
"Utah","39.2066",3221610,82170
"Kansas","35.6038",2910931,81759
"Nevada","28.1198",3087025,109781
"Nebraska","25.2645",1940919,76824
"Idaho","21.6616",1790182,82643
"New Mexico","17.2800",2096034,121298
"South Dakota","11.7744",892631,75811
"North Dakota","11.0274",760900,69001
"Montana","7.3828",1074532,145546
"Wyoming","5.8952",572381,97093
"Alaska","1.2893",735720,570641
