"","W","PTS","O_PTS","FG%","3P%","TRB","AST","STL","TOV","O_FG%","O_3P%","O_TRB","O_AST","O_STL","O_TOV"
"1",1,114,99,0.5,0.462,52,28,13,21,0.426,0.3,40,25,14,19
"2",1,106,95,0.418,0.367,43,24,11,13,0.48,0.435,38,26,10,19
"3",0,116,123,0.482,0.344,37,30,10,18,0.533,0.409,42,24,11,15
"4",1,112,97,0.529,0.4,44,29,17,19,0.435,0.333,43,22,9,26
"5",1,115,107,0.506,0.45,48,24,8,21,0.451,0.333,31,24,14,13
"6",1,117,96,0.505,0.406,52,31,10,16,0.434,0.379,39,21,14,19
"7",1,107,100,0.486,0.313,39,29,6,16,0.398,0.25,47,25,9,14
"8",0,94,112,0.459,0.345,40,22,5,15,0.523,0.44,40,29,11,9
"9",0,85,121,0.364,0.25,32,22,6,7,0.539,0.586,54,28,4,15
"10",0,99,102,0.442,0.318,36,26,13,18,0.463,0.323,43,26,9,19
"11",1,103,95,0.489,0.211,47,27,9,14,0.425,0.407,33,20,6,16
"12",0,120,131,0.506,0.393,45,29,6,15,0.586,0.441,28,36,8,9
"13",0,99,107,0.465,0.385,47,26,4,12,0.489,0.444,43,26,8,12
"14",0,84,92,0.415,0.269,35,19,9,10,0.422,0.31,52,21,6,17
"15",1,102,98,0.366,0.259,55,19,8,13,0.376,0.259,55,20,8,17
"16",1,105,98,0.443,0.308,44,29,10,15,0.417,0.29,43,22,9,18
"17",1,114,112,0.457,0.5,46,25,6,11,0.467,0.333,47,27,5,12
"18",0,101,103,0.429,0.367,43,22,5,12,0.434,0.386,43,22,7,12
"19",1,111,98,0.525,0.5,37,29,9,19,0.494,0.316,36,25,11,16
"20",1,102,93,0.476,0.409,40,23,16,19,0.42,0.25,41,18,12,24
"21",1,110,93,0.495,0.35,47,24,8,13,0.423,0.414,39,27,8,22
"22",0,105,115,0.42,0.31,40,28,8,8,0.5,0.583,46,23,4,11
"23",0,86,112,0.361,0.29,41,18,9,19,0.483,0.419,52,26,12,18
"24",1,142,139,0.437,0.323,64,36,4,14,0.398,0.353,63,32,9,12
"25",1,113,86,0.526,0.357,48,28,8,15,0.346,0.259,33,17,8,13
"26",0,95,120,0.446,0.353,30,16,6,12,0.613,0.385,44,31,9,12
"27",1,117,106,0.505,0.296,48,31,6,10,0.4,0.295,49,25,8,10
"28",0,90,108,0.38,0.3,45,14,7,10,0.404,0.459,54,30,7,12
"29",1,100,95,0.563,0.476,34,24,12,22,0.455,0.424,33,22,10,20
"30",0,130,135,0.538,0.385,43,30,7,12,0.547,0.543,33,31,7,14
"31",0,96,97,0.442,0.333,44,21,12,14,0.449,0.455,44,24,6,15
"32",0,111,119,0.463,0.464,47,19,6,19,0.471,0.455,43,33,10,14
"33",1,110,105,0.432,0.2,47,19,12,15,0.463,0.333,40,28,7,22
"34",1,105,99,0.52,0.364,45,24,8,21,0.402,0.16,46,19,17,11
"35",0,91,103,0.408,0.296,38,19,6,17,0.424,0.357,48,29,7,11
"36",0,97,113,0.364,0.269,35,22,13,13,0.506,0.444,54,23,9,20
"37",0,92,107,0.347,0.185,58,16,10,20,0.442,0.273,50,21,13,17
"38",1,95,91,0.4,0.222,51,24,5,19,0.365,0.226,48,25,12,15
"39",1,123,116,0.494,0.478,52,26,7,17,0.411,0.349,38,28,9,12
"40",1,126,125,0.468,0.29,45,31,8,12,0.459,0.413,53,28,4,14
"41",1,103,76,0.519,0.259,50,30,6,16,0.33,0.13,40,16,11,13
"42",1,122,117,0.539,0.344,47,36,13,19,0.443,0.341,44,22,8,16
"43",1,107,100,0.471,0.438,39,28,10,12,0.432,0.35,49,21,7,19
"44",0,107,123,0.456,0.32,39,31,3,11,0.524,0.478,47,21,7,17
"45",1,115,87,0.389,0.407,53,23,16,15,0.351,0.261,57,19,7,25
"46",1,90,83,0.434,0.333,53,18,6,19,0.41,0.348,32,16,9,9
"47",0,88,104,0.373,0.344,43,19,6,13,0.489,0.321,50,33,10,11
"48",0,103,109,0.462,0.353,36,32,8,10,0.469,0.458,45,24,4,16
"49",0,114,121,0.44,0.357,33,26,6,5,0.552,0.45,52,28,4,11
"50",1,97,92,0.409,0.393,45,25,10,13,0.375,0.231,51,22,9,14
"51",0,94,101,0.373,0.405,46,24,5,13,0.415,0.45,50,12,9,11
"52",1,96,88,0.436,0.321,46,26,7,13,0.33,0.267,53,21,10,12
"53",0,112,117,0.441,0.321,39,29,8,12,0.513,0.423,44,27,5,13
"54",1,113,103,0.482,0.387,47,30,6,17,0.42,0.3,37,22,14,11
"55",1,117,114,0.514,0.531,30,28,6,13,0.533,0.393,39,35,7,12
"56",1,115,104,0.554,0.548,32,31,5,13,0.463,0.423,35,27,7,10
"57",1,110,106,0.402,0.475,42,28,6,17,0.468,0.321,41,30,9,15
"58",1,117,108,0.43,0.5,47,26,6,10,0.471,0.323,42,22,7,11
"59",1,117,108,0.506,0.415,45,20,5,14,0.429,0.385,44,28,10,7
"60",1,108,98,0.5,0.385,44,29,6,12,0.442,0.32,42,25,4,11
"61",0,106,117,0.385,0.273,33,25,8,3,0.505,0.4,57,27,2,14
"62",0,123,127,0.457,0.371,47,26,6,21,0.467,0.4,37,26,12,14
"63",1,120,109,0.516,0.344,48,33,10,18,0.468,0.323,30,28,8,17
"64",1,128,98,0.562,0.471,47,39,8,10,0.437,0.36,38,29,7,11
"65",1,113,109,0.439,0.406,44,23,6,9,0.443,0.111,51,18,6,7
"66",1,109,104,0.414,0.333,39,24,6,9,0.526,0.258,41,17,6,15
"67",1,113,107,0.476,0.371,47,28,8,16,0.394,0.368,52,24,9,12
"68",1,107,102,0.42,0.308,45,24,9,11,0.417,0.345,46,22,4,13
"69",1,116,108,0.475,0.464,39,21,13,22,0.473,0.258,47,23,16,22
"70",0,98,114,0.391,0.294,40,21,9,18,0.484,0.24,55,22,10,14
"71",1,103,99,0.462,0.419,47,28,4,12,0.407,0.303,41,20,3,10
"72",1,100,80,0.465,0.432,51,22,14,21,0.379,0.28,40,18,13,17
"73",1,117,104,0.544,0.394,37,34,2,10,0.44,0.296,42,26,4,8
"74",1,110,102,0.43,0.303,53,19,10,13,0.43,0.229,39,24,6,18
"75",1,109,100,0.512,0.407,43,27,5,16,0.437,0.393,45,20,13,13
"76",1,130,120,0.468,0.341,50,31,8,15,0.453,0.316,49,23,9,13
"77",1,112,108,0.532,0.333,35,32,8,16,0.451,0.241,40,19,9,15
"78",0,100,103,0.398,0.324,42,24,8,16,0.526,0.364,35,27,9,14
"79",1,117,116,0.452,0.364,45,27,6,11,0.408,0.4,48,28,9,9
"80",0,91,114,0.407,0.212,38,21,6,12,0.467,0.306,51,19,7,10
"81",1,114,105,0.451,0.368,51,31,7,13,0.36,0.258,49,18,8,12
"82",1,112,94,0.451,0.324,46,31,12,8,0.44,0.261,43,26,6,17
"83",1,103,94,0.437,0.303,52,20,6,16,0.378,0.292,49,22,7,13
"84",0,88,118,0.344,0.161,45,14,12,15,0.506,0.407,58,26,9,19
"85",1,109,101,0.539,0.481,45,27,10,19,0.42,0.36,38,21,11,13
"86",0,95,99,0.402,0.25,46,20,12,15,0.419,0.333,49,24,7,16
"87",1,119,110,0.553,0.364,43,20,5,20,0.424,0.429,41,20,11,16
"88",0,109,129,0.398,0.286,36,22,5,9,0.576,0.417,50,23,4,15
"89",0,92,111,0.395,0.323,45,18,7,19,0.459,0.395,51,26,13,13
"90",0,105,122,0.437,0.4,42,19,7,15,0.535,0.565,45,24,11,13
"91",1,127,122,0.433,0.342,54,22,9,13,0.422,0.325,56,21,10,14
"92",0,93,111,0.382,0.3,40,20,9,17,0.45,0.441,48,23,8,18
"93",0,113,118,0.494,0.407,50,25,5,21,0.489,0.412,35,26,17,10
"94",1,116,111,0.482,0.346,42,18,11,15,0.4,0.297,58,18,7,17
"95",1,107,97,0.384,0.314,61,19,7,15,0.385,0.222,49,11,8,10
"96",0,101,117,0.442,0.371,46,22,6,26,0.452,0.324,51,29,19,12
"97",1,120,118,0.533,0.484,39,26,4,15,0.468,0.308,44,23,11,11
"98",0,89,101,0.423,0.222,44,13,5,15,0.419,0.292,46,11,9,9
"99",0,108,116,0.451,0.3,52,21,6,19,0.432,0.273,46,19,14,12
"100",0,95,105,0.462,0.37,40,21,6,22,0.394,0.296,46,19,11,13
"101",0,97,117,0.402,0.345,48,22,5,17,0.478,0.304,53,25,11,12
